Product Name,Product Brand Name,Product Price,Category,Thumbnail URLs,Product Description,Detailed Image URLs
로지 16K 튼튼한 고급형 투명 자동 장우산,ROJI,"9,990원",여성패션|가방/잡화|우산/양산/우비|우산,https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/vendor_inventory/c005/0ea20e304e803ce5f95cbdc4f45c40ef8dcfb16b9aa2b7c0e8c6e4fe285f.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/vendor_inventory/b606/47de1306e1cd61a068f20836c857a309d022704d7b734c12efff2e37e1dc.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/vendor_inventory/5776/5b157e82edad366149ddf222f239bbdf7cd7cdd0fe7bbc55d76bc8fb7e93.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/vendor_inventory/a585/2ba94ebe12ae724508679ee6c250073feb87ee5348686545298980e21fe9.jpg,"색상계열: 블랙계열
종류: 1단(장우산)
사용 대상: 공용
사용대상 구분: 남녀공용
패턴/프린트: 단색(무지)
쿠팡상품번호: 7538756341 - 19812512507",https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/vendor_inventory/80f9/1b1577ca34e5220ca335027acaa1c54966635edbbed31db9f9fe5c302ba5.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/vendor_inventory/5f64/fc0c79979f6bd7cb92584773ef1071c80e4fd7328a0b73888adf6c7fe3f4.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/vendor_inventory/5574/f92424d74d6916f932e5282f24d2068a72b62c7b60afdbe2df62978c255b.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/vendor_inventory/e248/268dcf3dc12954b8ad28154768111d36640461931c62e4e7279746c6581c.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/vendor_inventory/c39c/bfcb180fb2825392cf4d94738058fad8fca0f04743edea955d8ce8e142e1.jpg
이지레그 여성용 목이 긴 장목 양말 5켤레,이지레그,"9,900원",여성패션|가방/잡화|양말/스타킹|양말,https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/467736631816701-5cc2f9a8-b006-411c-9add-df20c2547ebe.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2442686187497068-855b2910-d7f7-49fe-9d0d-c5cfe053f2c9.png|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2880848779634622-060d8eee-0887-4548-8756-884c85fa0413.png|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2021/09/06/12/3/f29e6c03-5c63-4671-9086-addda8db7e30.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2439689565968932-0011e1c3-01ba-43a0-8d97-7f6035382821.png|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/467736631816701-5cc2f9a8-b006-411c-9add-df20c2547ebe.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/978735167302010-ed7cd54e-be8c-415a-b82b-dbc5207fc8a0.jpg,"색상계열: 블랙계열
소재: 면(아사)/캔버스
패턴/프린트: 단색(무지)
용도: 일반
사용대상 구분: 여성용
쿠팡상품번호: 6069749908 - 11200559304",https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/retail/images/577584389299234-fb4cc46b-bf6f-4512-9ea6-5fc6be5ab46a.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/retail/images/5218410688504226-c8a657cb-ddda-4999-a644-d568e9419499.jpg
"에티에르 본능 오 드 퍼퓸 2p, 50ml, 2개",에티에르,"38,400원",뷰티|향수|남성향수,https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/3539332835564706-26756599-ad17-4349-9f85-b6966708ae31.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/1419295869359629-717dcee9-963a-4006-9d73-3a156bae3d7c.PNG|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/1419295884658622-f892f00a-c89f-46be-b5fa-114bd36847d2.PNG|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/681021567712362-5566f45d-bca4-498d-be7c-71ec405bae90.PNG|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/1173692501627493-bc4ca30b-c549-410a-b4ac-cd017c0a794d.PNG|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/122575602128199-cf291b32-f821-4bc7-a245-dfaf60784fd7.PNG|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/842821962012420-b8793d1b-6f39-4cc4-a6b8-674df53f62b1.PNG,"유통기한 (사용기한 표시의무 대상 상품은 사용기한): 2025-09-20 이거나 그 이후인 상품
농도: 오드퍼퓸
쿠팡상품번호: 5891374710 - 16238690434",https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/6258423144950225-fe73b2a7-49e5-4165-9884-a0d41996592a.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/10/11/12/1/b2b955fa-d505-432f-8c0b-71c7b748bffd.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/10/11/12/2/7d8d30b0-2418-4d50-a31b-124d5daf8dfb.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/10/11/12/0/ace7cfc0-6b1d-4fc3-a386-ddc06d1058ca.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/10/11/12/0/3478938e-2c52-4f3b-a97d-81785c58329c.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/10/11/12/6/10a91ecd-17fb-41a6-a33d-2922f411bb78.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/10/11/12/4/d8619b8b-c503-4fed-a687-06ecc5a6dfa6.jpg
케이트 립 몬스터,케이트,"19,920원",뷰티|메이크업|립 메이크업|립스틱,https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/30028128848179-bd37dbe8-eaec-482c-aeed-3175c90a7401.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2023/07/31/14/4/6edc7c50-3791-41a0-a890-768f7102d80f.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2023/07/31/14/6/d761391b-43d5-494d-a476-7d1276ba043e.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/118961822528959-4270e89d-9d83-4171-ad31-629351be73b1.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/116785061362005-9190b106-72b7-46c7-8b4b-9ddba6903b0a.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/118961821867961-8fa8f0d3-422c-41b5-b036-ef64396f46b1.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/116785062155360-9d2f714a-c9a9-446b-8831-5ad0fc3e93c1.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/30206826586972-1a04a54b-2119-4ffe-bcc4-714a830ad1c3.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/116785051995198-18b20275-61ea-4312-939e-2f2c7e00c7eb.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/118961777718671-a25733aa-9893-4ede-9dfc-bcf7c16a6a16.jpg,"유통기한 (사용기한 표시의무 대상 상품은 사용기한): 2025-06-09 이거나 그 이후인 상품
색상계열: 핑크계열
쿠팡상품번호: 7185725748 - 18131895617",https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/07/31/14/1/c4bc1109-8fc5-47e5-837e-e02742fdd55b.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/07/31/14/8/5e5aa162-b49b-4d2f-a411-fc5803665860.jpg
"코멧 오리지널 플러스 아기물티슈, 120매, 20팩",코멧,"22,870원",출산/유아동|출산준비물/선물|위생/건강용품|물티슈/건티슈,https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2732dc32-31dc-4eda-8830-e92b2a4c0d091832448539895782578.png|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/3237230057182313-da2912bd-2ffd-45c5-abeb-0382a9de84ac.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/1317150946709251-e02eef35-320c-468d-81bb-1e2eaf75b899.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2620324797518248-9148f18a-d6cb-458b-beb8-5a353f18c4b5.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/1317150926924117-8bc65192-f80b-4a78-ad3a-0c42e1aeb1f6.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2620325008496193-fcd303a3-3184-4cc0-ba62-5959883d6799.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2620692929890137-cf3ffed6-81b4-465d-8ed1-65432384f9fc.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2620324861588581-b32d4bf1-167a-4221-a2e6-6efe97edc35c.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/3237229986811194-486987d2-4265-40a1-9358-7567e3ec99a9.jpg,"유통기한 (사용기한 표시의무 대상 상품은 사용기한): 2024-11-01 이거나 그 이후인 상품
제조국: 대한민국
쿠팡상품번호: 6809861982 - 19421953413",https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/823115861396188-5287def5-7b00-4ece-8bb9-844fd89340e7.jpg
"아브카 베이비 앤 키즈 저자극 무기자차 선크림 SPF50+ PA++++, 35ml, 2개",아브카,"11,900원",출산/유아동|욕실용품/스킨케어|선케어/야외활동케어|유아 선크림,https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2023/06/08/15/2/bdd38760-9c24-4b14-bc30-75f0b3e45598.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/5daplpj7/0b2ae258a3464f5caade0a794329d564.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/lloozdd2/149e2518b9644aa2ba8af0d4052522ba.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/lcuopl3c/431f079e91c54a2494e127f1bdd63499.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/bk8c8mx0/43695a74b9b74bf8984b4a97d93b690b.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/ypyxdffe/8164690afdd942258812d26f0a2267be.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/iiu7i2es/e6fb2ead7e334ea48e571ea0cdd72330.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/jalydvfd/dc8e596dd7434b4886580ebee940364b.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/rs_quotation_api/wrzizwyk/ae728a86e67d4f0c98062c0a82fbbd2a.jpg,"유통기한 (사용기한 표시의무 대상 상품은 사용기한): 2025-07-26 이거나 그 이후인 상품
제조국: 대한민국
선크림 용도: 모든부위
워터프루프 여부: 워터프루프
SPF: SPF50+
쿠팡상품번호: 7346897483 - 18896657449",https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/06/08/15/0/c7afb54f-52a5-4f1e-9ca2-bdad64edd45f.jpg
"탐사수 무라벨, 2L, 24개",탐사,"12,690원",식품|곤약/방탄커피 외|생수/음료|생수|국산생수,https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/7609662521933713-0d7870de-5716-43c5-a3f5-22f7a34f3a43.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/8490550364860741-f6cc5f1e-9aa4-43b4-bedc-0419695aa407.crdownload|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/9201698317662373-53a164f5-12a0-42f2-af7d-3b0fca49b6b7.crdownload|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/9201899243094890-946a45a8-ddfe-4b3c-8e16-e36e95b65597.crdownload|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/9201899269504479-426520dc-c476-4e2c-925e-5075fb27888c.crdownload|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/184100392672551-3d8b4a34-3289-4c40-be03-220901d46477.crdownload,"소비기한(또는 유통기한): 2024-06-21 이거나 그 이후인 상품
용기 타입: 플라스틱병
라벨 유무: 무라벨
쿠팡상품번호: 5625704601 - 11696984031",https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/650013422944356-ab904594-c432-4aac-93df-9e153f78afa7.jpg
"모아미트 캐나다산 보리먹인 암퇘지 삼겹살 구이용 (냉장), 1kg, 1개",모아미트,"17,990원",식품|곤약/방탄커피 외|축산/계란|돼지고기|삼겹살,https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2972564234766335-9e8e8bfa-72c0-462e-a0d2-510117293ac4.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/11876170402442068-ff4bb201-cb9c-4f7a-927c-32ab40b8c688.png|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/11164825460279379-4107e4c2-8389-44fb-9db2-4bc1219fe9ba.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2972583562317257-cc3ebd01-df03-40f6-9378-746581020863.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2974540526009685-94f29621-e9cc-4b5b-bed6-ff5664511b8d.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/2974540498867549-1de8e5c5-e83c-4401-a31c-3adb18b926be.jpg,"소비기한(또는 유통기한): 2024-04-10 이거나 그 이후인 상품
개당 중량: 1kg
용도: 구이용
보관방법: 냉장보관
총 중량: 1kg
쿠팡상품번호: 213797578 - 649012177",https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/11876118224072840-16d065f2-dd9c-4caf-bee7-eac894d84ace.png|https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/11325857501165247-cbcc6e1e-09f3-41cc-9844-bf982798aaa9.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2972603084605665-9bc3d90d-b5b5-495c-8d50-8a03b3b953bd.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/4277898944553250-efb1ef63-318d-47ab-89fa-e1c199a881ad.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/retail/images/4276114031363156-65810d15-04e6-47b9-924b-2639f8f6faec.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/112506825093547-1b4c652f-f30b-4618-9409-8607cce8648b.jpg
키친아트 뉴본다이아몬드 3종세트,키친아트,"27,400원",주방용품|냄비/프라이팬|냄비/프라이팬세트|프라이팬세트,https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2019/02/19/3035124610/f7bdc340-83be-4ed1-a5a3-aff4c38470b3.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/5da12875-ab90-4777-85be-571a714401b4.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/f81a4367-5b25-4d65-8c9c-e02cc1cd08ad.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/4e2c249f-2f74-43a2-9dbb-952ea3e2a05d.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/fd42afad-c69e-4111-9c79-a716078ddc89.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/6eec311a-6941-4daf-b1a4-5829fec9451c.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/e8e3eb99-8ca0-4884-990e-a42ef9d99291.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/183522e7-2cd2-4a71-96c6-14aec400a273.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/2c18acc7-b39a-458e-a00b-24d26b26333a.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/product/image/vendoritem/2017/09/21/3035124610/d382da1c-d877-49de-bf3f-961e17b38046.jpg,"뚜껑포함 여부: 뚜껑포함
구성품개수: 3개
수량: 3개
지름: 28cm
재질: 알루미늄,스테인레스 스틸,베이크라이트
쿠팡상품번호: 5267573 - 23882768",https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/product/content/vendorItem/2016/11/15/23882768/3ce6fc99-d44c-453b-84bb-a790e87f092c.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/product/content/vendorItem/2016/11/15/23882768/bc17f3f5-460c-443a-9b16-491c2bd77fd6.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/product/content/vendorItem/2016/11/15/23882768/3fa0f8b1-0387-4b9c-8b13-e6c6f1ea99b5.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/product/content/vendorItem/2016/11/15/23882768/df78c843-9cbf-4017-b1e1-bcc23e22773d.jpg
"탐사 일회용 앞치마, 화이트, 400매",코멧,"29,760원",생활용품|주방수납/잡화|주방잡화|앞치마/머리수건|앞치마,https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/816798224931275-8c22e3f3-475c-4be7-8588-91dc6c9f362a.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/9534692292188384-5fa7f60c-e1c9-4a2d-9d34-9a2157c5b17a.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/8569011849861253-af871db7-11eb-4c8c-a441-b089c8f5a1b1.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/9179975197028000-78a3a279-bd8b-4287-b052-aae540c862af.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/8564297182853627-a3c10aac-a93d-45ee-adee-8e95e6bf5612.jpg|https://thumbnail8.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/9181529171900425-123513dc-9f5d-4c70-afb4-db675f63441c.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/9181529273412309-a8a045bb-f50c-4f4d-8698-44141c3cb783.jpg|https://thumbnail9.coupangcdn.com/thumbnails/remote/48x48ex/image/retail/images/8569012192854256-cf40cfae-75be-45d4-bedc-875dc927dc97.png,"색상계열: 화이트계열
쿠팡상품번호: 6804782981 - 16078194252",https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/186507207900172-c348b577-e9ff-4f56-8b2c-ba52867fdc36.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/186508570912948-7976b89b-4311-43ea-9f76-fb3219092c55.jpg|https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/186508389654191-759175b4-00c4-4bf0-b4f5-96695b3fbba5.jpg|https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/182802605850095-1912d630-3edb-4c17-ad5f-7514c8c22210.jpg|https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/1141373376984125-9d2feeb5-e20b-4bb3-aeb5-49d30edb9f5f.jpg
